Animal type,Country,Weight kg,Body Length cm,Gender,Animal code,Latitude,Longitude,Animal name,Observation date,Data compiled by
red squirrel,Slovakia,0.259,19,Male,Unknown,48.405516,18.850994,Unknown,05-03-2024,John Johnson
European bison,Poland,454,225,Female,Unknown,52.834423,23.827103,Unknown,06-03-2024,Anne Anthony
hedgehog,Poland,1.1,22,Female,Unknown,52.214521,21.031889,Unknown,06-03-2024,Anne Anthony
hedgehog,Poland,0.9,21,Male,Unknown,52.214934,21.032106,Unknown,06-03-2024,Anne Anthony
lynx,Hungary,18,81,Female,Unknown,48.511532,20.539112,Unknown,06-03-2024,Anne Anthony
red squirrel,Poland,0.343,23,Male,Unknown,52.241638,21.057329,Unknown,06-03-2024,Anne Anthony
red squirrel,Poland,0.274,22,Female,Unknown,52.241235,21.057356,Unknown,06-03-2024,Anne Anthony
hedgehog,Czech Republic,0.6,17,Female,Unknown,50.106942,14.348502,Unknown,06-03-2024,John Johnson
hedgehog,Czech Republic,0.4,12,Female,Unknown,50.107223,14.34732,Unknown,06-03-2024,John Johnson
hedgehog,Czech Republic,1.1,26,Male,Unknown,50.106379,14.347645,Unknown,06-03-2024,John Johnson
hedgehog,Czech Republic,0.8,22,Male,Unknown,50.106579,14.346283,Unknown,06-03-2024,John Johnson
red squirrel,Slovakia,0.334,21,Male,Unknown,48.188008,17.085312,Unknown,06-03-2024,John Johnson
red squirrel,Slovakia,0.307,23,Female,Unknown,48.185298,17.084072,Unknown,06-03-2024,John Johnson
European bison,Poland,862,312,Male,Unknown,52.831879,23.826297,Unknown,07-03-2024,Anne Anthony
hedgehog,Hungary,0.35,21,Female,Unknown,48.506206,20.565308,Unknown,07-03-2024,Anne Anthony
hedgehog,Hungary,0.5,16,Male,Unknown,48.50509,20.539448,Unknown,07-03-2024,Anne Anthony
hedgehog,Hungary,0.8,23,Female,Unknown,48.504425,20.548744,Unknown,07-03-2024,Anne Anthony
hedgehog,Hungary,0.7,18,Female,Unknown,48.505617,20.541054,Unknown,07-03-2024,Anne Anthony
hedgehog,Hungary,1.2,23,Male,Unknown,48.503254,20.555951,Unknown,07-03-2024,Anne Anthony
hedgehog,Hungary,0.5,15,Male,Unknown,48.502359,20.563385,Unknown,07-03-2024,Anne Anthony
hedgehog,Hungary,0.6,18,Female,Unknown,48.511048,20.567209,Unknown,07-03-2024,Anne Anthony
lynx,Hungary,29,109,Male,Unknown,48.501574,20.532455,Unknown,07-03-2024,Anne Anthony
lynx,Poland,26,85,Female,Unknown,52.808579,23.843768,Unknown,07-03-2024,Anne Anthony
red squirrel,Hungary,0.296,19,Male,Unknown,-2.023546,34.896734,Unknown,07-03-2024,Anne Anthony
red squirrel,Hungary,0.3,23,Male,Unknown,48.505406,20.535848,Unknown,07-03-2024,Anne Anthony
red squirrel,Hungary,0.286,18,Female,Unknown,48.503917,20.536503,Unknown,07-03-2024,Anne Anthony
red squirrel,Poland,0.318,21,Male,Unknown,52.240616,21.054902,Unknown,07-03-2024,Anne Anthony
European bison,Czech Republic,716,303,Male,Unknown,50.636161,14.846951,Unknown,07-03-2024,John Johnson
European bison,Czech Republic,541,212,Female,Unknown,50.642592,14.85014,Unknown,07-03-2024,John Johnson
European bison,Czech Republic,30,100,Female,Unknown,50.636423,14.847287,Unknown,07-03-2024,John Johnson
hedgehog,Czech Republic,0.7,20,Female,Unknown,50.106607,14.347909,Unknown,07-03-2024,John Johnson
hedgehog,Czech Republic,0.7,20,Female,Unknown,50.106925,14.346629,Unknown,07-03-2024,John Johnson
hedgehog,Czech Republic,1.2,26,Male,Unknown,50.107284,14.347676,Unknown,07-03-2024,John Johnson
red squirrel,Czech Republic,0.273,17,Female,Unknown,49.938634,14.181813,Unknown,07-03-2024,John Johnson
hedgehog,Hungary,1,24,Female,Unknown,48.506913,20.540427,Unknown,08-03-2024,Anne Anthony
hedgehog,Poland,0.8,19,Female,Unknown,52.214365,21.031462,Unknown,08-03-2024,Anne Anthony
red squirrel,Hungary,0.261,19,Female,Unknown,47.507023,18.940532,Unknown,08-03-2024,Anne Anthony
hedgehog,Czech Republic,0.8,22,Male,Unknown,50.106811,14.348513,Unknown,08-03-2024,John Johnson
hedgehog,Czech Republic,1.1,23,Male,Unknown,50.107278,14.348461,Unknown,08-03-2024,John Johnson
European bison,Poland,621,277,Female,Unknown,52.828561,23.816861,Unknown,09-03-2024,Anne Anthony
European bison,Poland,385,168,Female,Unknown,52.833261,23.815203,Unknown,09-03-2024,Anne Anthony
hedgehog,Poland,0.6,21,Male,Unknown,52.21441,21.032484,Unknown,09-03-2024,Anne Anthony
hedgehog,Poland,0.8,22,Female,Unknown,52.214452,21.034505,Unknown,09-03-2024,Anne Anthony
lynx,Hungary,12,61,Female,Unknown,48.508239,20.567914,Unknown,09-03-2024,Anne Anthony
lynx,Hungary,23,73,Female,Unknown,48.507503,20.551726,Unknown,09-03-2024,Anne Anthony
lynx,Poland,20,95,Female,Unknown,52.814984,23.840681,Unknown,09-03-2024,Anne Anthony
lynx,Poland,18,63,Male,Unknown,52.812647,23.863299,Unknown,09-03-2024,Anne Anthony
red squirrel,Poland,0.302,22,Male,Unknown,52.241375,21.050845,Unknown,09-03-2024,Anne Anthony
red squirrel,Hungary,0.284,20,Female,Unknown,47.50938,18.949607,Unknown,09-03-2024,Anne Anthony
hedgehog,Czech Republic,0.9,22,Female,Unknown,50.106583,14.346471,Unknown,09-03-2024,John Johnson
hedgehog,Czech Republic,1.1,23,Male,Unknown,50.10696,14.346126,Unknown,09-03-2024,John Johnson
hedgehog,Czech Republic,0.6,19,Male,Unknown,50.106311,14.346906,Unknown,09-03-2024,John Johnson
red squirrel,Czech Republic,0.293,19,Male,Unknown,49.937416,14.181449,Unknown,09-03-2024,John Johnson
hedgehog,Hungary,0.9,20,Female,Unknown,48.51108,20.567192,Unknown,10-03-2024,Anne Anthony
hedgehog,Hungary,0.9,21,Male,Unknown,48.50529,20.566169,Unknown,10-03-2024,Anne Anthony
hedgehog,Hungary,1.1,26,Male,Unknown,48.502486,20.562565,Unknown,10-03-2024,Anne Anthony
lynx,Hungary,23,77,Female,Unknown,48.509272,20.551952,Unknown,10-03-2024,Anne Anthony
lynx,Hungary,15,71,Male,Unknown,48.50118,20.557432,Unknown,10-03-2024,Anne Anthony
hedgehog,Czech Republic,0.8,17,Male,Unknown,49.938707,14.182507,Unknown,10-03-2024,John Johnson
hedgehog,Czech Republic,0.5,18,Female,Unknown,49.937531,14.180359,Unknown,10-03-2024,John Johnson
hedgehog,Czech Republic,0.7,17,Female,Unknown,49.93789,14.180882,Unknown,10-03-2024,John Johnson
hedgehog,Czech Republic,0.5,15,Female,Unknown,49.93734,14.18071,Unknown,10-03-2024,John Johnson
European bison,Poland,24,100,Female,Unknown,52.834112,23.825722,Unknown,11-03-2024,Anne Anthony
hedgehog,Hungary,0.9,19,Female,Unknown,48.505634,20.543417,Unknown,11-03-2024,Anne Anthony
hedgehog,Poland,0.8,16,Female,Unknown,52.214968,21.030987,Unknown,11-03-2024,Anne Anthony
lynx,Hungary,20,90,Female,Unknown,48.501938,20.567814,Unknown,11-03-2024,Anne Anthony
red squirrel,Hungary,0.322,21,Male,Unknown,48.506217,20.545055,Unknown,11-03-2024,Anne Anthony
red squirrel,Hungary,0.282,21,Male,Unknown,-2.023546,34.896734,Unknown,11-03-2024,Anne Anthony
red squirrel,Hungary,0.311,22,Female,Unknown,48.505737,20.546731,Unknown,11-03-2024,Anne Anthony
red squirrel,Hungary,0.336,22,Female,Unknown,48.506095,20.543032,Unknown,11-03-2024,Anne Anthony
red squirrel,Hungary,0.29,21,Male,Unknown,48.506429,20.543875,Unknown,11-03-2024,Anne Anthony
red squirrel,Hungary,0.293,20,Male,Unknown,48.50586,20.547649,Unknown,11-03-2024,Anne Anthony
red squirrel,Hungary,0.335,19,Female,Unknown,48.502521,20.558578,Unknown,11-03-2024,Anne Anthony
red squirrel,Hungary,0.339,19,Female,Unknown,48.503752,20.558664,Unknown,11-03-2024,Anne Anthony
red squirrel,Poland,0.304,22,Unknown,Unknown,52.241093,21.055413,Unknown,11-03-2024,Anne Anthony
red squirrel,Czech Republic,0.271,18,Male,Unknown,49.937391,14.179566,Unknown,11-03-2024,John Johnson
European bison,Poland,315,175,Male,Unknown,52.829512,23.811681,Unknown,12-03-2024,Anne Anthony
red squirrel,Poland,0.316,24,Male,Unknown,52.240707,21.057051,Unknown,12-03-2024,Anne Anthony
red squirrel,Hungary,0.35,21,Female,Unknown,47.508454,18.949343,Unknown,12-03-2024,Anne Anthony
hedgehog,Czech Republic,0.6,20,Male,Unknown,49.938169,14.178703,Unknown,12-03-2024,John Johnson
hedgehog,Czech Republic,0.4,17,Male,Unknown,49.938527,14.179315,Unknown,12-03-2024,John Johnson
red squirrel,Czech Republic,0.324,23,Female,Unknown,49.937724,14.182072,Unknown,12-03-2024,John Johnson
hedgehog,Hungary,0.6,14,Female,Unknown,48.506262,20.547343,Unknown,13-03-2024,Anne Anthony
hedgehog,Poland,0.8,24,Male,Unknown,52.214734,21.031915,Unknown,13-03-2024,Anne Anthony
lynx,Hungary,20,86,Male,Unknown,48.504717,20.558726,Unknown,13-03-2024,Anne Anthony
red squirrel,Poland,0.36,23,Female,Unknown,52.24151,21.052575,Basia,13-03-2024,Anne Anthony
red squirrel,Hungary,0.26,18,Male,Unknown,47.505768,18.943674,Unknown,13-03-2024,Anne Anthony
red squirrel,Germany,0.335,18,Male,Unknown,48.161549,11.493041,Bob Bobson,13-03-2024,Bob Bobson
hedgehog,Czech Republic,0.6,15,Female,Unknown,49.939297,14.181453,Unknown,13-03-2024,John Johnson
red squirrel,Slovakia,0.288,18,Female,Unknown,48.185953,17.08393,Unknown,13-03-2024,John Johnson
European bison,Poland,610,258,Female,Unknown,52.821135,23.809947,Unknown,14-03-2024,Anne Anthony
hedgehog,Hungary,0.7,21,Female,Unknown,48.509199,20.552447,Unknown,14-03-2024,Anne Anthony
hedgehog,Poland,1,21,Female,Unknown,52.213985,21.030841,Unknown,14-03-2024,Anne Anthony
hedgehog,Poland,0.8,15,Female,Unknown,52.213877,21.030861,Unknown,14-03-2024,Anne Anthony
red squirrel,Poland,0.32,21,Female,Unknown,52.241309,21.057247,Unknown,14-03-2024,Anne Anthony
red squirrel,Hungary,0.287,23,Female,Unknown,47.508679,18.946127,Unknown,14-03-2024,Anne Anthony
hedgehog,Australia,0.8,24,Unknown,Unknown,47.781689,14.386777,Unknown,14-03-2024,Bob Bobson
hedgehog,Austria,0.7,19,Female,Unknown,47.781139,14.382004,Unknown,14-03-2024,Bob Bobson
hedgehog,Austria,0.8,20,Male,Unknown,47.781828,14.385001,Unknown,14-03-2024,Bob Bobson
hedgehog,Austria,0.6,14,Female,Unknown,47.78106,14.386807,Unknown,14-03-2024,Bob Bobson
hedgehog,Austria,0.7,24,Male,Unknown,47.780872,14.38446,Unknown,14-03-2024,Bob Bobson
hedgehog,Austria,0.8,21,Female,Unknown,47.781117,14.38608,Unknown,14-03-2024,Bob Bobson
lynx,Austria,22,80,Female,Unknown,47.780779,14.384918,Unknown,14-03-2024,Bob Bobson
lynx,Austria,23,86,Male,Unknown,47.781257,14.383099,Unknown,14-03-2024,Bob Bobson
hedgehog,Czech Republic,0.9,16,Female,Unknown,49.93849,14.1802,Unknown,14-03-2024,John Johnson
hedgehog,Poland,0.9,22,Male,Unknown,52.214498,21.034201,Unknown,15-03-2024,Anne Anthony
lynx,Poland,16,70,Male,Unknown,52.803129,23.844358,Unknown,15-03-2024,Anne Anthony
hedgehog,Czech Republic,0.7,21,Female,Unknown,49.938132,14.181225,Unknown,15-03-2024,John Johnson
red squirrel,Slovakia,0.294,23,Male,Unknown,48.184374,17.086,Unknown,15-03-2024,John Johnson
red squirrel,Czech Republic,0.267,18,Female,Unknown,49.93886,14.182738,Unknown,15-03-2024,John Johnson
red squirrel,Czech Republic,0.328,19,Male,Unknown,49.938357,14.177929,Unknown,15-03-2024,John Johnson
European bison,Poland,35,125,Female,Unknown,52.820739,23.815145,Unknown,16-03-2024,Anne Anthony
hedgehog,Hungary,0.6,23,Male,Unknown,48.501763,20.547976,Unknown,16-03-2024,Anne Anthony
lynx,Poland,16,72,Male,Unknown,52.814211,23.834358,Unknown,16-03-2024,Anne Anthony
lynx,Poland,18,81,Female,Unknown,52.802757,23.835199,Unknown,16-03-2024,Anne Anthony
red squirrel,Poland,0.346,19,Male,Unknown,52.240529,21.053603,Unknown,16-03-2024,Anne Anthony
